Year,Population
1980,15600442
1981,15969792
1982,16347124
1983,16740664
1984,17141610
1985,17540571
1986,17936926
1987,18326204
1988,18720745
1989,19145077
1990,19616530
1991,20130779
1992,20702133
1993,21267359
1994,21794751
1995,22305571
1996,22783969
1997,23249417
1998,23703328
1999,24143157
2000,24559500
2001,24956071
2002,25332178
2003,25682908
2004,26003965
2005,26285110
2006,26518971
2007,26713655
2008,26881544
2009,27026941
2010,27161567
2011,27266399
2012,27330694
2013,27381555
2014,27462106
2015,27610325
2016,27861186
2017,28183426
2018,28506712
2019,28832496
2020,29348627
2021,30034989
